"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-01-01,0.00336927353382724,0.00319910019130817,0.00292799486542485,0.00245635810233332,0.00194756731064194,0.00314694285272212,0.00369604160941301,0.00262879953175774,0.0119635149946437,0.00342975063695369,0,4.46508305054474e-05,0
2021-01-02,0.00336927353382724,0.00319910019130817,0.00315153177822767,0.00247947676682587,0.00223774385043503,0.00318669958337969,0.00369604160941301,0.00262879953175774,0.0119635149946437,0.00342975063695369,0,4.46508305054474e-05,0
2021-01-03,0.00336927353382724,0.00319910019130817,0.00327346100339285,0.00247947676682587,0.00253169592141502,0.00327946528824734,0.00369604160941301,0.00262879953175774,0.0119635149946437,0.00342975063695369,0,4.46508305054474e-05,0
2021-01-04,0.00495365950056244,0.00513441655949846,0.00339793042074897,0.00247947676682587,0.00285989745387616,0.00347836518928563,0.00369604160941301,0.00275436622741951,0.0119635149946437,0.00342975063695369,0,4.46508305054474e-05,0
2021-01-05,0.00542797470678084,0.00589982890518634,0.00360199252675457,0.00310079087506312,0.00337303259429558,0.00377235575020079,0.00369604160941301,0.00275436622741951,0.0130162052374436,0.00342975063695369,0.00116702455419662,0.00290230398285408,0
2021-01-06,0.00647781801920582,0.00674519629637449,0.00383060982393928,0.00373149694075048,0.00404184097597481,0.00449553300581692,0.00522280578541838,0.00275436622741951,0.0130162052374436,0.00342975063695369,0.00116702455419662,0.00290230398285408,0.00073202746365105
2021-01-07,0.00790153331770883,0.00760561140680004,0.00409140288887591,0.00457171590340155,0.00482351077206242,0.00565336060040568,0.00638569116614248,0.00275436622741951,0.0130162052374436,0.00342975063695369,0.00723555223601905,0.00290230398285408,0.00073202746365105
2021-01-08,0.00890115502006363,0.00846400518180565,0.00509308534283704,0.00540687765819488,0.00576685420718902,0.00720991797907471,0.00638569116614248,0.00275436622741951,0.0222922639651745,0.00342975063695369,0.00723555223601905,0.00361671727094124,0.00073202746365105
2021-01-09,0.00890115502006363,0.00950768803697337,0.00589663280590476,0.00626660299401154,0.00676379670112963,0.00873287975786059,0.00638569116614248,0.00275436622741951,0.0222922639651745,0.00342975063695369,0.00723555223601905,0.00361671727094124,0.00073202746365105
2021-01-10,0.00890115502006363,0.0101053295428054,0.0067137279606575,0.00686190860469468,0.00743671771499459,0.00977085592172434,0.00638569116614248,0.00275436622741951,0.0222922639651745,0.00342975063695369,0.00723555223601905,0.00361671727094124,0.00073202746365105
2021-01-11,0.0115263405610119,0.0105089228483221,0.00757654657484719,0.00747961042160497,0.00803399326472204,0.0107473370255944,0.00983745050739463,0.00275436622741951,0.0222922639651745,0.0072245727702778,0.0115535430865465,0.00361671727094124,0.00073202746365105
2021-01-12,0.0119866091100076,0.0117502473889961,0.00836569961549958,0.00747961042160497,0.00880035867546275,0.0115678136483461,0.00983745050739463,0.00387940331516329,0.0261686409768965,0.0072245727702778,0.0115535430865465,0.0114306126093945,0.00073202746365105
2021-01-13,0.0122051981867882,0.0130587251841773,0.00757908676703813,0.00776570389470026,0.00946545894615486,0.0124809397282151,0.00746842142762629,0.00278980843990469,0.0261686409768965,0.00729374421169535,0.0159882363924937,0.0114306126093945,0.0100969305331179
2021-01-14,0.0134205226664943,0.0150371633746599,0.00866459556330032,0.00776570389470026,0.0102730855191524,0.013450329719307,0.00746842142762629,0.00278980843990469,0.031593091875089,0.00729374421169535,0.0159882363924937,0.0114306126093945,0.0131512520193861
2021-01-15,0.014607368991831,0.0166445742191694,0.0103851524072978,0.00823674668373595,0.0111973490377452,0.0147719503942949,0.00746842142762629,0.00546822706914168,0.031593091875089,0.00729374421169535,0.027635141443376,0.0114306126093945,0.0248132067851373
2021-01-16,0.014607368991831,0.0183180153540639,0.0128491388325107,0.00823674668373595,0.0120967345026243,0.0160254498875129,0.00746842142762629,0.00546822706914168,0.031593091875089,0.00729374421169535,0.027635141443376,0.0114306126093945,0.0248132067851373
2021-01-17,0.014607368991831,0.0193003843681597,0.0155857725528847,0.00823674668373595,0.0127585986037277,0.0170528475060847,0.00746842142762629,0.00546822706914168,0.031593091875089,0.00729374421169535,0.027635141443376,0.0114306126093945,0.0248132067851373
2021-01-18,0.0168071139968974,0.0201715799341584,0.0176678834187261,0.0112754061479753,0.0134106867758649,0.0178485633579883,0.0100117560841552,0.00546822706914168,0.031593091875089,0.00729374421169535,0.031439641490057,0.042262011073406,0.0540438206785137
2021-01-19,0.017773639465796,0.0207332865880801,0.0193249354579501,0.0130916662271712,0.01424784339636,0.0190707922063323,0.0100117560841552,0.00638466142054413,0.0278839068431058,0.00729374421169535,0.031439641490057,0.042262011073406,0.0642417205169628
2021-01-20,0.0187114943603633,0.0197576553587174,0.0208642919256604,0.0146081061262294,0.0149495528355251,0.0202573329952849,0.0100117560841552,0.00675224779574754,0.0278839068431058,0.0135537596599839,0.0604518719073849,0.042262011073406,0.0642417205169628
2021-01-21,0.0198617808929287,0.0200413160959838,0.0230217618264998,0.0150603650003648,0.0157563703661254,0.0216464936132905,0.0100117560841552,0.00722109763519432,0.0292647887498374,0.0135537596599839,0.0737559518252264,0.042262011073406,0.0851928513731826
2021-01-22,0.0208513967572618,0.0203285703184412,0.0235899181465403,0.0162177431415231,0.0162037033915731,0.0233224374316826,0.0100117560841552,0.00796943463595278,0.0292647887498374,0.0135537596599839,0.0870600317430679,0.042262011073406,0.0964761712439418
