"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-03-16,0,0,0,7.19014777191701e-07,0,2.07969483020216e-06,0,0,0,0,0,0,0
2021-03-17,0,0,0,7.19014777191701e-07,0,2.19523343188006e-06,0,0,0,0,0,0,0
2021-03-18,0,0,0,7.19014777191701e-07,0,2.19523343188006e-06,0,0,0,0,0,0,0
2021-03-19,0,0,0,7.19014777191701e-07,0,2.19523343188006e-06,0,0,0,0,0,0,0
2021-03-20,0,0,0,7.19014777191701e-07,0,2.31077203355796e-06,0,0,0,0,0,0,0
2021-03-21,0,0,0,7.19014777191701e-07,0,2.31077203355796e-06,0,0,0,0,0,0,0
2021-03-22,0,0,0,7.19014777191701e-07,0,2.31077203355796e-06,0,0,0,0,0,0,0
2021-03-23,0,0,0,1.4380295543834e-06,0,2.42631063523585e-06,0,0,0,0,0,0,0
2021-03-24,0,0,0,1.4380295543834e-06,0,2.54184923691375e-06,0,0,0,0,0,0,0
2021-03-25,0,0,0,1.4380295543834e-06,0,2.54184923691375e-06,0,0,0,0,0,0,0
2021-03-26,0,0,0,1.4380295543834e-06,0,2.54184923691375e-06,0,0,0,0,0,0,0
2021-03-27,0,0,0,1.4380295543834e-06,0,2.65738783859165e-06,0,0,0,0,0,0,0
2021-03-28,0,0,0,1.4380295543834e-06,0,2.65738783859165e-06,0,0,0,0,0,0,0
2021-03-29,0,0,0,1.4380295543834e-06,0,2.65738783859165e-06,0,0,0,0,0,0,0
2021-03-30,0,0,0,1.4380295543834e-06,0,2.65738783859165e-06,0,0,0,0,0,0,0
2021-03-31,0,0,0,1.4380295543834e-06,0,2.65738783859165e-06,0,0,0,0,0,0,0
2021-04-01,0,0,0,1.4380295543834e-06,0,2.77292644026955e-06,0,0,0,0,0,0,0
2021-04-02,0,0,0,2.1570443315751e-06,0,2.77292644026955e-06,0,0,0,0,0,0,0
2021-04-03,0,0,0,2.1570443315751e-06,0,3.00400364362534e-06,0,0,0,0,0,0,0
